lstm
output_channel,mean_ic,mean_rank_ic,mean_ir
0,-0.00014616203770240698,-0.021506778890186696,-0.007020250250794519
1,-0.000313663160798313,-0.012533277117595639,-0.01261716864932068
2,0.0027723606608714094,0.016357797792408736,0.06546873272072874
3,0.009857277641927238,0.014922821171295725,0.23439363172629413
4,0.011795193421910212,0.012197591344944187,0.28434953292138715
5,0.012753131744867875,-0.00044372143549180077,0.23012610008830625
6,0.015483961266512518,0.0020952655764002437,0.256210887206785
7,0.021116067003138093,0.007027577907520047,0.3577009309638201
8,0.02441883586780381,0.011282560366356865,0.4032859690922461
9,0.020887078416551543,0.007876422733471262,0.35112033762154654

gla
output_channel,mean_ic,mean_rank_ic,mean_ir
0,0.039051881407067786,0.2798465027570929,0.7859007885676064
1,0.08946571090903627,0.07534566261270889,1.1758409382649877
2,0.08549527213563764,0.09976317899495978,1.1678490693000843
3,0.07364181682759205,0.0614231630417869,1.068009585349462
4,0.06620957016394773,0.05325192512644497,0.9981584504127494
5,0.05945701253494344,0.04860779065025363,0.9350062025290188
6,0.05600725354234999,0.05172328374462773,0.9081689292058144
7,0.0339965557946495,0.029657070026722,0.6601974329685698
8,0.046029078103892805,0.03865486257336767,0.9228506139460038
9,0.014198234664518859,0.005410204453784221,0.3605818926312161

gated_deltanet
output_channel,mean_ic,mean_rank_ic,mean_ir
0,0.010035550875861922,-0.0004853411636323352,0.2409060088400118
1,0.019448205095102037,0.005170288420725946,0.3251484516895371
2,0.018610329399477047,0.0025566929724404656,0.338352090124999
3,0.023477220782166273,0.00042106502476711125,0.43757769990177736
4,0.027600113996257326,0.0020108629418311595,0.5027648021536291
5,0.031211188023384316,0.0031456875370361862,0.5762257896702645
6,0.03376779038966416,0.007846419241457903,0.6238970777293239
7,0.03461700016373192,0.01004005117354892,0.6394331954577648
8,0.03965583928683329,0.01676015440498497,0.718529260060139
9,0.03956964572331102,0.014017595458856712,0.7423928084543334

kda
output_channel,mean_ic,mean_rank_ic,mean_ir
0,0.05890992838941651,0.2775434501321968,0.9901690451857732
1,0.11864243869366536,0.0829929391643144,1.3314799497622403
2,0.1103999398818697,0.10655846945358372,1.2346154082691856
3,0.08780714614774013,0.06640391834341419,1.1992914774836871
4,0.07899878245315282,0.05708568834833711,1.150815446693135
5,0.06806850805794246,0.04988660746995923,1.026209567600436
6,0.06180933271428084,0.04869793457780531,0.9518933862038252
7,0.04202994316498986,0.03262672787673673,0.7774144553689424
8,0.049311241820758814,0.03692411448188775,0.9639466899823431
9,0.009465826584055608,-0.0015514002312557082,0.2783949895849238

ours
output_channel,mean_ic,mean_rank_ic,mean_ir
0,0.11170654651255664,0.3120741676053406,1.942319277765123
1,0.2001169472091841,0.12520537040982258,2.7372212795974806
2,0.18091870206875907,0.13962148497273164,2.49534791173582
3,0.1248558856756523,0.0839741549428282,1.7864798840245322
4,0.10236647368727848,0.06760108369539143,1.4778857443097344
5,0.07791856110258488,0.053492187578846724,1.149523355156857
6,0.0664759737255586,0.0526488662637778,0.9674219055328822
7,0.04301531712357226,0.03595741400087144,0.7695752192678516
8,0.051480189466800434,0.03879498405851677,0.9292597392017804
9,0.014090515231735963,0.00010405475049345531,0.3272718689327424
