B,PyTorch,Triton
32.000000,27.451712,2.043036
64.000000,27.837451,3.888493
128.000000,27.006325,7.710128
256.000000,45.180929,14.819467
512.000000,110.642174,29.139968
1024.000000,231.244995,58.109951
